category,freshmart_avg_price,competitor_name,competitor_price
Household Essentials,55.00,ShopRight,49.50
Household Essentials,55.00,MegaMart,54.00
Snacks & Beverages,25.00,ShopRight,22.00
Snacks & Beverages,25.00,MegaMart,26.00
Pharmacy,40.00,ShopRight,42.00
Pharmacy,40.00,MegaMart,35.00
Dairy & Bakery,30.00,ShopRight,25.50
Dairy & Bakery,30.00,MegaMart,29.00
Home & Kitchen,80.00,ShopRight,82.00
Home & Kitchen,80.00,MegaMart,70.00
Seasonal Items,45.00,ShopRight,40.00
Seasonal Items,45.00,MegaMart,48.00
Baby Care,60.00,ShopRight,55.00
Baby Care,60.00,MegaMart,50.00
Grocery,120.00,ShopRight,105.00
Grocery,120.00,MegaMart,118.00
Electronics,200.00,ShopRight,195.00
Electronics,200.00,MegaMart,180.00
Personal Care,35.00,ShopRight,38.00
Personal Care,35.00,MegaMart,30.00
